num_detained,jail,city,state
14,Adams County Correctional Center,Natchez,MS
2,Bergen County Jail,Hackensack,NJ
27,Bluebonnet Detention Facility,Anson,TX
49,Buffalo Federal Detention Facility,Batavia,NY
2,Caroline Detention Facility (Bowling,Green,VA
7,Catahoula Correctional Center,Harrisonburg,LA
8,El Paso Processing Center (El,Paso,TX
17,Elizabeth Detention Center,Elizabeth,NJ
3,Essex County Correctional Facility,Newark,NJ
1,Etowah County Detention Center,Gadsden,AL
10,Florence Detention Center,Florence,AZ
10,Hudson County Jail,Kearny,NJ
1,IAH Secure Adult Detention Facility,Livingston,TX
2,Irwin County Detention Center,Ocilla,GA
15,Joe Corley Detention Center,Conroe,TX
9,Krome Detention Center,Miami,FL
29,La Palma Correctional Facility,Eloy,AZ
10,LaSalle ICE Processing Center,Jena,LA
3,Montgomery Processing Center,Conroe,TX
7,Morrow County Correctional Facility (Mount,Gilead,OH
105,Otay Mesa Detention Center (San,Diego,CA
6,Otero County Processing Center,Chaparral,NM
16,Pike County Correctional Facility,Hawley,PA
21,Pine Prairie ICE Processing Center (Pine,Prairie,LA
41,Prairieland Detention Center,Alvarado,TX
13,Pulaski County Detention Center,Ullin,IL
60,Richwood Correctional Center,Monroe,LA
2,River Correctional Center,Ferriday,LA
6,South Texas ICE Processing Center,Pearsall,TX
6,St. Clair County Jail,Huron,MI
11,Stewart Detention Center,Lumpkin,GA
7,Winn Correctional Center,Winnfield,LA
1,Wyatt Detention Center (Central,Falls,RI
1,York County Prison,York,PA
