Name of Detention Center,Address,Lat,Long,Type of facility,Name of Operator,Zip Code,County,State,County Population,Confirmed COVID Cases in County,Confirmed COVID Deaths in County,Cases per 1000 people in County,Deaths per 1000 people in County,Total Capacity,Average Daily Population (all inmates/detainees),Number current ICE detainees,Number current non-ICE detainees,Tests Y/N,News Article,Link,3-Apr-2020,4-Apr-2020,7-Apr-2020,8-Apr-2020,9-Apr-2020,10-Apr-2020,13-Apr-2020,14-Apr-2020,15--Apr-2020,16-Apr-2020,17-Apr-2020,20-Apr-2020,21-Apr-2020,22-Apr-2020,23-Apr-2020,24-Apr-2020,27-Apr-2020,28-Apr-2020,29-Apr-2020,30-Apr-2020,1-May-2020,2-May-2020,3-May-2020,4-May-2020,5-May-2020,6-May-2020,7-May-2020,8-May-2020,USMS positive detainees (non-ICE),Employee COVID Cases,Confirmed COVID cases (staff + ICE + non-ICE),Deaths,,,,,,,,,,,,,,,,,,,,,,
Adams County Detention Center,"20 Hobo Fork Rd, Natchez, MS 39120",31.558752,-91.221778,USMS IGA,CoreCivic,39120,Adams,Mississippi,32090,133,8,4.14,0.25,2540,2191,1073,,,,Hunger Strike ( du to COVID19)https://twitter.com/ImmJustice/status/1246580613181775872?s=20,,,,,,,1,1,5,5,5,8,9,9,9,9,12,12,12,14,14,14,14,15,15,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelanto ICE Processing Center - East,"10250 Rancho Rd, Adelanto, CA 92301",34.55772948,-117.4418648,IGSA,"GEO Group, Inc",92301,San Bernardino,California,2088371,2058,93,0.99,0.04,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelanto ICE Processing Center - West,"10400 Rancho Rd, Adelanto CA 92301",34.559242,-117.4437003,,,,Adelanto ,California,2088371,2058,93,0.99,0.04,1940,,1596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allegany County Jail,"4884 NY-19, Belmont, NY 14813",42.21187274,-78.01803352,IGSA,,14813,Allegany,New York,48109,35,0,0.73,0.00,,67,60,58,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Aurora Contract Detention Facility,"3130 Oakland St, Aurora, CO 80010",39.76087495,-104.849087,CDF,"GEO Group, Inc",80010,Arapahoe,Colorado,607070,2472,141,4.07,0.23,928,,928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Baker County Facility,"1 Sheriffs Office Dr, Macclenny, FL 32063",30.294677,-82.124802,IGSA,County,32063,Baker,Florida,27013,20,3,0.74,0.11,500+,478,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedford Heights City Jail,"5661 Perkins Rd, Bedford Heights, OH 44146",41.405041,-81.498457,IGSA,City of Municipality,44146,Cuyahoga,Ohio,1263154,2126,112,1.68,0.09,126,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bergen County Jail,"160 S River St, Hackensack, NJ 07601",40.88287442,-74.04129468,USMS IGA,County Sheriff Department,"""07601",Bergen,New Jersey,925328,15610,1136,16.87,1.23,1150,,220 average//202 current,277,,"Updated April 21. Bergen County Sheriffs office updated website with information weekly. 40-year old Salvadoran national, ""The first detainee has tested positive for coronavirus infection. He was being held at the Bergen County Jail, and was tested after becoming ill. This is the same center where an officer tested positive last week."" 40-year-old Salvadorian national in ICE custody at the BCJ, tested on Thursday, March 26th
54-year-old county inmate, tested on Saturday, March 28th
31-year-old Mexican national in ICE detainee, tested on Monday, March 23rd, was released on Thursday, March 26th by U.S. Immigration and Customs Enforcement & 24 corrections officers, 6 sheriff's officiers, and 4 nurses
52 ICE detainees and 136 county inmates have been released, 204 ICE detainees and 227 county inmates inside.  6 county inmates in quarantine and 4 ICE detainees in quarantine. ","https://www.insidernj.com/bergen-sheriffs-office-releases-covid-19-data-jail-inmates-staff/, https://www.forbes.com/sites/judystone/2020/03/24/immigrant-detainees-are-sitting-on-a-covid-19-time-bombfirst-infection-reported/#1b93498e3af2, https://nj1015.com/ice-reports-covid-19-cases-among-nj-detainees-lets-2-more-go/",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,31,34,,,,,,,,,,,,,,,,,,,,,,,
Berks Family Residential Center,"1040 Berks Rd, Leesport, PA 19533",40.37919,-76.020026,IGSA,County,19533,Berks,Pennsylvania,413521,2698,117,6.52,0.28,96,,55,,,Holds 39 people/5 families total. Lack of hand sanitizer and cleaning supplies. ,https://www.motherjones.com/politics/2020/03/berks-family-detention-coronavirus-immigration-ice/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluebonnet Detention Center,"400 2nd Street, Anson, TX, 79501",32.766528,-99.892128,,Management and Training Corporation,79501,Jones,Texas,19859,37,0,1.86,0.00,1000,,,,,,,,,,,,,,,,,,,,1,1,1,1,20,24,27,27,27,27,39,41,41,41,42,,,,,,,,,,,,,,,,,,,,,,,,,,
Boone County Jail,"3020 Conrad Ln, Burlington, KY 41005",39.03732571,-84.72366686,USMS IGA,County Regional Jail Authority,41005,Boone,Kentucky,124442,138,2,1.11,0.02,424,424,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(couldn't find),,,,,,,,,,,,,,,,,,,,,,,
Bossier Parish Medium Security Facility,"2984 Old Plain Dealing Rd, Plain Dealing, LA 71064",32.8933361,-93.7118193,,,71064,Bossier,Louisiana,123823,286,17,2.31,0.14,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bristol County House of Corrections,"400 Faunce Corner Rd, North Dartmouth, MA 02747",41.6560854,-70.9883599,IGSA,County Sheriff Department,"""02747",Bristol,Massachusetts,552780,3580,172,6.48,0.31,566,1278,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,
Brooks County Detention Center,"901 Co Rd 201, Falfurrias, TX 78355",27.247852,-98.125916,USMS IGA,County Sheriff Department,78355,Brooks,Texas,7237,1,0,0.14,0.00,200,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broward Transitional Center,"3900 N Powerline Rd, Pompano Beach, FL 33073",26.27477215,-80.15197145,CDF,"GEO Group, Inc.",33073,Broward,Florida,1838844,4953,185,2.69,0.10,700,700//440 current numbers,645,,,"U.S. District Judge Marcia Cooke said crowded condiitons exposed inmates to COVID, violating constitutional rights, and forcing jail to depopulate to level of 75% capacity. Social distancing at facility impossible. ICE has failed to provide detainees in facilities with masks, soap, and cleaning supplies. Bunks 12 inches apart.  Paul Chavez of Southern Poverty Law Center's Immigrant Justice Project: ""We look forward to holding ICE accountable to this order and will be filing for class action certification soon. The urgency of the situation cannot be understated. By ignoring the advice of doctors and public health experts, the agency is knowingly putting detained peoples' lives in grave danger.""","https://www.npr.org/sections/coronavirus-live-updates/2020/05/01/848681749/federal-judge-orders-ice-to-release-detainees-at-3-florida-facilities, https://www.law360.com/florida/articles/1269464/fed-judge-orders-ice-to-reduce-fla-detainee-population",,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
